komsat;jns_karantina;komoditas;satuan;harga
vaksin/liter;H;Vaksin;liter;25.000
vaksin/tube;H;Vaksin;tube;25.000
vaksin/vial;H;Vaksin;vial;25.000
vaksin/gram;H;Vaksin;gram;2.500
vaksin/bag;H;Vaksin;bag;1
vaksin/box;H;Vaksin;box;1
vaksin/buah/butir/batang;H;Vaksin;buah/butir/batang;1
vaksin/each;H;Vaksin;each;1
vaksin/number of international units;H;Vaksin;number of international units;1
vaksin/number of packs;H;Vaksin;number of packs;1
vaksin/set;H;Vaksin;set;1
vaksin/kilogram;H;Vaksin;kilogram;25.000
vaksin (botol)/ampoule;H;Vaksin (botol);ampoule;25.000
vaksin (botol)/box;H;Vaksin (botol);box;25.000
vaksin (botol)/kemasan;H;Vaksin (botol);kemasan;25.000
vaksin (botol)/liter;H;Vaksin (botol);liter;25.000
vaksin (botol)/vial;H;Vaksin (botol);vial;25.000
vaksin (botol)/botol;H;Vaksin (botol);botol;1
vaksin (botol)/buah/butir/batang;H;Vaksin (botol);buah/butir/batang;1
vaksin (botol)/kilogram;H;Vaksin (botol);kilogram;25.000
vaksin (vial)/botol;H;Vaksin (vial);botol;25.000
vaksin (vial)/box;H;Vaksin (vial);box;25.000
vaksin (vial)/kemasan;H;Vaksin (vial);kemasan;25.000
vaksin (vial)/liter;H;Vaksin (vial);liter;25.000
vaksin (vial)/tablet;H;Vaksin (vial);tablet;25.000
vaksin (vial)/vial;H;Vaksin (vial);vial;25.000
vaksin (vial)/buah/butir/batang;H;Vaksin (vial);buah/butir/batang;1
vaksin (vial)/carton;H;Vaksin (vial);carton;1
vaksin (vial)/kilogram;H;Vaksin (vial);kilogram;25.000
whey/kilogram;H;Whey;kilogram;1.000.000
whey/ton;H;Whey;ton;250.000.000
whey/box;H;Whey;box;1
whey/kemasan;H;Whey;kemasan;1
whey/kilogram of phosphorus pentoxide (phosphoric anhydride);H;Whey;kilogram of phosphorus pentoxide (phosphoric anhydride);1
abalone/ekor;I;Abalone;ekor;25.000
abalone/box;I;Abalone;box;1
abalone/kilogram;I;Abalone;kilogram;279.855
agar-agar/gram;I;Agar-agar;gram;8.600
agar-agar/ekor;I;Agar-agar;ekor;1
agar-agar/kemasan;I;Agar-agar;kemasan;1
agar-agar/kilogram;I;Agar-agar;kilogram;86.000
algae/kemasan;I;Algae;kemasan;19.000
algae/buah/butir/batang;I;Algae;buah/butir/batang;1
algae/ekor;I;Algae;ekor;1
algae/kilogram;I;Algae;kilogram;100.000
aligator gar/ekor;I;Aligator Gar;ekor;100.000
aligator gar/kilogram;I;Aligator Gar;kilogram;65.624
american flag tail/ekor;I;American Flag tail;ekor;27.000
anemon/ekor;I;Anemon;ekor;100.000
anemon/buah/butir/batang;I;Anemon;buah/butir/batang;1
angel fish/ekor;I;Angel Fish;ekor;50.000
angel fish/box;I;Angel Fish;box;1
angel fish/buah/butir/batang;I;Angel Fish;buah/butir/batang;1
angel fish/kilogram;I;Angel Fish;kilogram;150.000
anthias/ekor;I;Anthias;ekor;40.000
anthias/buah/butir/batang;I;Anthias;buah/butir/batang;1
anthias/kilogram;I;Anthias;kilogram;170.000
archer fish/ekor;I;Archer fish;ekor;50.000
arwana/ekor;I;Arwana;ekor;353.040
arwana brazil/ekor;I;Arwana Brazil;ekor;140.000
arwana jardini/ekor;I;Arwana Jardini;ekor;139.847
arwana super red/kilogram;I;Arwana Super Red;kilogram;15.000.000
arwana super red/ekor;I;Arwana Super Red;ekor;1.100.000
arwana super red/box;I;Arwana Super Red;box;1
arwana super red/buah/butir/batang;I;Arwana Super Red;buah/butir/batang;1
baby clam/kilogram;I;Baby Clam;kilogram;50.000
bagian tubuh kepiting tapal kuda/gram;I;Bagian Tubuh Kepiting Tapal Kuda;gram;1
bahan baku pakan/kilogram;I;Bahan Baku Pakan;kilogram;1
bahan biologi/liter;I;Bahan Biologi;liter;1
bahan biologi/kilogram;I;Bahan Biologi;kilogram;1
bahan kimia/vial;I;Bahan Kimia;vial;1
bahan kimia/kilogram;I;Bahan Kimia;kilogram;1
bahan obat/kilogram;I;Bahan Obat;kilogram;1
bala shark/ekor;I;Bala Shark;ekor;25.000
bala shark/kilogram;I;Bala Shark;kilogram;25.000
balong/ekor;I;Balong;ekor;15.000
banner fish/ekor;I;Banner fish;ekor;35.000
banner fish/buah/butir/batang;I;Banner fish;buah/butir/batang;1
barbus/ekor;I;Barbus;ekor;10.689
barbus/buah/butir/batang;I;Barbus;buah/butir/batang;1
barbus/kilogram;I;Barbus;kilogram;40.000
barilius senegal/ekor;I;Barilius Senegal;ekor;75.000
barracuda/kilogram;I;Barracuda;kilogram;60.000
baslet/ekor;I;Baslet;ekor;49.170
baslet/buah/butir/batang;I;Baslet;buah/butir/batang;1
baslet/kilogram;I;Baslet;kilogram;65.612
batfish/ekor;I;Batfish;ekor;80.000
batfish/buah/butir/batang;I;Batfish;buah/butir/batang;1
batfish/kilogram;I;Batfish;kilogram;60.000
baung/kilogram;I;Baung;kilogram;70.000
bawal hias/ekor;I;Bawal Hias;ekor;15.000
bawal hias/kilogram;I;Bawal Hias;kilogram;200.000
belida/ekor;I;Belida;ekor;50.000
belly/ekor;I;Belly;ekor;10.000
belut/ekor;I;Belut;ekor;30.000
belut/kemasan;I;Belut;kemasan;1
belut/kilogram;I;Belut;kilogram;80.000
benih aligator gar/ekor;I;Benih Aligator Gar;ekor;40.000
benih angel fish/ekor;I;Benih Angel Fish;ekor;10.000
benih bala shark/ekor;I;Benih Bala Shark;ekor;20.000
benih bambit/ekor;I;Benih Bambit;ekor;25.815
benih bandeng/ekor;I;Benih Bandeng;ekor;1.500
benih barbus/ekor;I;Benih Barbus;ekor;5.000
benih bawal/ekor;I;Benih Bawal;ekor;3.000
benih bawal air tawar/ekor;I;Benih Bawal Air Tawar;ekor;2.500
benih bawal air tawar/kilogram;I;Benih Bawal Air Tawar;kilogram;47.000
benih bintang laut/ekor;I;Benih Bintang Laut;ekor;20.000
benih bintang laut/buah/butir/batang;I;Benih Bintang Laut;buah/butir/batang;1
benih black ghost/ekor;I;Benih Black Ghost;ekor;10.000
benih black ghost/buah/butir/batang;I;Benih Black Ghost;buah/butir/batang;1
benih buntal/ekor;I;Benih Buntal;ekor;8.000
benih catfish/ekor;I;Benih Catfish;ekor;5.000
benih cherax/ekor;I;Benih Cherax;ekor;5.000
benih cichlid/ekor;I;Benih Cichlid;ekor;10.000
benih clown fish/ekor;I;Benih Clown Fish;ekor;20.000
benih discus/ekor;I;Benih Discus;ekor;120.000
benih dori/ekor;I;Benih Dori;ekor;150.000
benih goby/ekor;I;Benih Goby;ekor;20.000
benih gurame hias/ekor;I;Benih Gurame Hias;ekor;15.000
benih ikan air laut/ekor;I;Benih Ikan Air Laut;ekor;7.000
benih ikan air tawar/ekor;I;Benih Ikan Air Tawar;ekor;5.000
benih ikan hias air laut/ekor;I;Benih Ikan Hias Air Laut;ekor;40.000
benih ikan hias air laut/kilogram;I;Benih Ikan Hias Air Laut;kilogram;150.000
benih ikan hias air tawar/ekor;I;Benih Ikan Hias Air Tawar;ekor;10.000
benih ikan mas/ekor;I;Benih Ikan Mas;ekor;10.000
benih ikan pedang/ekor;I;Benih Ikan Pedang;ekor;7.000
benih ikan rasbora/ekor;I;Benih Ikan Rasbora;ekor;5.000
benih ikan tang/ekor;I;Benih Ikan Tang;ekor;25.000
benih ikan tang/buah/butir/batang;I;Benih Ikan Tang;buah/butir/batang;1
benih ikan wrasse/ekor;I;Benih Ikan Wrasse;ekor;6.000
benih kakap/ekor;I;Benih Kakap;ekor;3.000
benih kakap/box;I;Benih Kakap;box;1
benih kakap/kilogram;I;Benih Kakap;kilogram;200.000
benih kerapu/ekor;I;Benih Kerapu;ekor;30.000
benih kerapu/kilogram;I;Benih Kerapu;kilogram;300.000
benih lain-lain/ekor;I;Benih Lain-lain;ekor;1
benih lele/ekor;I;Benih Lele;ekor;500
benih lele/buah/butir/batang;I;Benih Lele;buah/butir/batang;1
benih nila/ekor;I;Benih Nila;ekor;800
benih nila/kilogram;I;Benih Nila;kilogram;100.000
benih patin/ekor;I;Benih Patin;ekor;1.000
benih platy/ekor;I;Benih Platy;ekor;2.000
benih rainbow fish/ekor;I;Benih Rainbow fish;ekor;7.000
benih rasbora/ekor;I;Benih Rasbora;ekor;5.000
benih siput/keong/ekor;I;Benih Siput/Keong;ekor;1.500
benih siput/keong (ornamental)/ekor;I;Benih Siput/Keong (ornamental);ekor;5.000
benih tetra/ekor;I;Benih Tetra;ekor;2.000
benih tiger fish/ekor;I;Benih Tiger Fish;ekor;30.000
benih udang hias/ekor;I;Benih Udang Hias;ekor;10.000
benih udang vaname/ekor;I;Benih Udang Vaname;ekor;100
benih udang vaname/kilogram;I;Benih Udang Vaname;kilogram;1
benih udang windu/ekor;I;Benih Udang Windu;ekor;150
benih udang windu/kilogram;I;Benih Udang Windu;kilogram;1
benih vaname/ekor;I;Benih Vaname;ekor;100
bete bete/kilogram;I;Bete Bete;kilogram;56.916
bete bete / petek/ekor;I;Bete bete / petek;ekor;50.000
bete bete / petek/kilogram;I;Bete bete / petek;kilogram;21.000
betok/ekor;I;Betok;ekor;3.000
betutu/ekor;I;Betutu;ekor;50.000
betutu/box;I;Betutu;box;1
betutu/kilogram;I;Betutu;kilogram;30.000
biawak/ekor;I;Biawak;ekor;350.000
bibit gabus/ekor;I;Bibit Gabus;ekor;5.000
bibit garing/ekor;I;Bibit Garing;ekor;800
bibit induk ikan lainnya/ekor;I;Bibit Induk Ikan Lainnya;ekor;17.094
bibit induk ikan lainnya/kilogram;I;Bibit Induk Ikan Lainnya;kilogram;65.364
bintang laut/ekor;I;Bintang Laut;ekor;20.000
bintang laut/buah/butir/batang;I;Bintang Laut;buah/butir/batang;1
bintang laut/kilogram;I;Bintang Laut;kilogram;150.000
black ghost/ekor;I;Black Ghost;ekor;12.000
black lancer/ekor;I;Black Lancer;ekor;40.000
black lancer/kilogram;I;Black Lancer;kilogram;49.062
blenny fish/ekor;I;Blenny Fish;ekor;40.000
blenny fish/buah/butir/batang;I;Blenny Fish;buah/butir/batang;1
blue devil/ekor;I;Blue Devil;ekor;15.000
blue fruntosa/ekor;I;Blue Fruntosa;ekor;50.000
blue panchax/ekor;I;Blue Panchax;ekor;3.000
blue spice/ekor;I;Blue Spice;ekor;1.790
blue star endler/ekor;I;Blue Star Endler;ekor;10.000
boarfish/ekor;I;Boarfish;ekor;70.000
borneo sucker/ekor;I;Borneo sucker;ekor;20.000
brajanata/ekor;I;Brajanata;ekor;30.000
brajanata/kilogram;I;Brajanata;kilogram;50.000
brown ghost/ekor;I;Brown Ghost;ekor;12.129
bulu babi/ekor;I;Bulu Babi;ekor;22.126
bulu babi/buah/butir/batang;I;Bulu Babi;buah/butir/batang;1
bulu babi/kilogram;I;Bulu Babi;kilogram;200.000
buntal/ekor;I;Buntal;ekor;21.425
buntal/buah/butir/batang;I;Buntal;buah/butir/batang;1
buntal/kilogram;I;Buntal;kilogram;264.820
burung laut/ekor;I;Burung Laut;ekor;47.406
burung laut/buah/butir/batang;I;Burung Laut;buah/butir/batang;1
burung laut/kilogram;I;Burung Laut;kilogram;179.913
cacing/ekor;I;Cacing;ekor;25.395
cacing/buah/butir/batang;I;Cacing;buah/butir/batang;1
cacing/kilogram;I;Cacing;kilogram;94.442
cacing laut/box;I;Cacing Laut;box;1
cacing laut/kilogram;I;Cacing Laut;kilogram;243.235
cakalang/ekor;I;Cakalang;ekor;65.000
cakalang/box;I;Cakalang;box;1
cakalang/bulk;I;Cakalang;bulk;1
cakalang/liter;I;Cakalang;liter;1
cakalang/kilogram;I;Cakalang;kilogram;65.000
calon induk ikan mas/ekor;I;Calon Induk Ikan Mas;ekor;12.612
cangkang kepiting/kilogram;I;Cangkang Kepiting;kilogram;672.888
cangkang kepiting/box;I;Cangkang Kepiting;box;1
cangkang kerang/kilogram;I;Cangkang Kerang;kilogram;261.376
cangkang kerang/gram;I;Cangkang Kerang;gram;206.401
cangkang kerang/ekor;I;Cangkang Kerang;ekor;49.365
cangkang kerang/bag;I;Cangkang Kerang;bag;1
cangkang kerang/box;I;Cangkang Kerang;box;1
cangkang kerang/buah/butir/batang;I;Cangkang Kerang;buah/butir/batang;1
cangkang kerang/kemasan;I;Cangkang Kerang;kemasan;1
cangkang kerang/meter kubik;I;Cangkang Kerang;meter kubik;1
cangkang kerang/set;I;Cangkang Kerang;set;1
capit kepiting/kilogram;I;Capit Kepiting;kilogram;119.122
capungan/ekor;I;Capungan;ekor;19.006
capungan/kilogram;I;Capungan;kilogram;100.000
carachins/ekor;I;Carachins;ekor;3.758
carachins/kilogram;I;Carachins;kilogram;10.160
carrageenan/kilogram;I;Carrageenan;kilogram;130.000
catfish/ekor;I;Catfish;ekor;21.620
catfish/botol;I;Catfish;botol;1
catfish/box;I;Catfish;box;1
catfish/buah/butir/batang;I;Catfish;buah/butir/batang;1
catfish/kilogram;I;Catfish;kilogram;40.000
chaetodon/ekor;I;Chaetodon;ekor;31.577
chaetodon/buah/butir/batang;I;Chaetodon;buah/butir/batang;1
chalceus/ekor;I;Chalceus;ekor;13.470
cherax/ekor;I;Cherax;ekor;37.671
cherax/kemasan;I;Cherax;kemasan;1
cherax/kilogram;I;Cherax;kilogram;127.935
chitin/ekor;I;Chitin;ekor;8.660
chromis fish/ekor;I;Chromis fish;ekor;5.000
chromis fish/buah/butir/batang;I;Chromis fish;buah/butir/batang;1
chromis fish/kilogram;I;Chromis fish;kilogram;230.000
cichlid/ekor;I;Cichlid;ekor;100.000
cichlid/buah/butir/batang;I;Cichlid;buah/butir/batang;1
cichlid/kilogram;I;Cichlid;kilogram;200.000
cichlid geophagus/ekor;I;Cichlid geophagus;ekor;400.000
clown fish/ekor;I;Clown Fish;ekor;44.436
clown fish/buah/butir/batang;I;Clown Fish;buah/butir/batang;1
coral/ekor;I;Coral;ekor;399.494
coral/buah/butir/batang;I;Coral;buah/butir/batang;1
coral/kilogram;I;Coral;kilogram;40.485
corydoras/ekor;I;Corydoras;ekor;9.446
corydoras/buah/butir/batang;I;Corydoras;buah/butir/batang;1
cumi-cumi/gram;I;Cumi-Cumi;gram;150
cumi-cumi/box;I;Cumi-Cumi;box;1
cumi-cumi/carton;I;Cumi-Cumi;carton;1
cumi-cumi/case;I;Cumi-Cumi;case;1
cumi-cumi/kemasan;I;Cumi-Cumi;kemasan;1
cumi-cumi/kilogram per second;I;Cumi-Cumi;kilogram per second;1
cumi-cumi/kilogram;I;Cumi-Cumi;kilogram;150.000
cupang/ekor;I;Cupang;ekor;40.068
cupang/kilogram;I;Cupang;kilogram;10.000
cupang alam/ekor;I;Cupang Alam;ekor;62.388
daging hiu/kilogram;I;Daging Hiu;kilogram;238.461
daging hiu/ekor;I;Daging Hiu;ekor;17.357
daging ikan bulan-bulan/kilogram;I;Daging Ikan Bulan-bulan;kilogram;100.000
daging kepiting/kilogram;I;Daging Kepiting;kilogram;234.817
daging kodok/ekor;I;Daging Kodok;ekor;5.112
daging kodok/kilogram;I;Daging Kodok;kilogram;172.605
dakocan/ekor;I;Dakocan;ekor;10.431
dakocan/buah/butir/batang;I;Dakocan;buah/butir/batang;1
damsel/ekor;I;Damsel;ekor;18.080
damsel/buah/butir/batang;I;Damsel;buah/butir/batang;1
damsel/kilogram;I;Damsel;kilogram;149.044
darter/ekor;I;Darter;ekor;35.971
darter/buah/butir/batang;I;Darter;buah/butir/batang;1
decorus/ekor;I;Decorus;ekor;2.631
dian fish/ekor;I;Dian Fish;ekor;23.837
dischistodus/ekor;I;Dischistodus;ekor;9.613
discus/ekor;I;Discus;ekor;187.080
doctor fish/ekor;I;Doctor Fish;ekor;17.926
doctor fish/buah/butir/batang;I;Doctor Fish;buah/butir/batang;1
dottyback/ekor;I;Dottyback;ekor;21.873
dottyback/buah/butir/batang;I;Dottyback;buah/butir/batang;1
dragon fish/ekor;I;Dragon Fish;ekor;29.306
duboisi/ekor;I;Duboisi;ekor;28.532
ekor kuning/ekor;I;Ekor Kuning;ekor;10.000
ekor kuning/kilogram;I;Ekor Kuning;kilogram;40.000
ekor merah/ekor;I;Ekor Merah;ekor;8.790
ekor merah/kilogram;I;Ekor Merah;kilogram;25.691
emperor/ekor;I;Emperor;ekor;62.061
emperor/buah/butir/batang;I;Emperor;buah/butir/batang;1
emperor/kilogram;I;Emperor;kilogram;110.058
fire cleaner shrimp/ekor;I;Fire Cleaner Shrimp;ekor;12.303
fire cleaner shrimp/buah/butir/batang;I;Fire Cleaner Shrimp;buah/butir/batang;1
fire cleaner shrimp/kilogram;I;Fire Cleaner Shrimp;kilogram;66.379
fire eel/ekor;I;Fire Eel;ekor;127.717
fire eel/buah/butir/batang;I;Fire Eel;buah/butir/batang;1
fire eel/kilogram;I;Fire Eel;kilogram;24.965
fish gelatin/kilogram;I;Fish Gelatin;kilogram;239.268
flying fox/ekor;I;Flying Fox;ekor;9.049
foxface/ekor;I;Foxface;ekor;71.746
foxface/buah/butir/batang;I;Foxface;buah/butir/batang;1
foxface/kilogram;I;Foxface;kilogram;15.718
frozen alaska pollack/box;I;Frozen Alaska Pollack;box;1
frozen alaska pollack/kilogram;I;Frozen Alaska Pollack;kilogram;52.983
frozen black mouth/kilogram;I;Frozen Black Mouth;kilogram;80.000
frozen eel fillet/box;I;FROZEN EEL FILLET;box;1
frozen eel fillet/kilogram;I;FROZEN EEL FILLET;kilogram;50.000
frozen ekor kuning/box;I;Frozen ekor Kuning;box;1
frozen ekor kuning/kilogram;I;Frozen ekor Kuning;kilogram;80.000
frozen rainbow trout/kilogram;I;Frozen Rainbow Trout;kilogram;200.000
frozen shark/kilogram;I;Frozen Shark;kilogram;55.403
gabus/ekor;I;Gabus;ekor;63.602
gabus/kilogram;I;Gabus;kilogram;37.000
gabus hias/ekor;I;Gabus Hias;ekor;29.772
gandola/ekor;I;Gandola;ekor;1.392
garra rufa/ekor;I;Garra Rufa;ekor;8.095
gelembung renang/kilogram;I;Gelembung Renang;kilogram;365.041
gelembung renang/box;I;Gelembung Renang;box;1
gelembung renang/kemasan;I;Gelembung Renang;kemasan;1
gelodok/ekor;I;Gelodok;ekor;18.364
giant trevally/ekor;I;Giant Trevally;ekor;140.553
giant trevally/box;I;Giant Trevally;box;1
giant trevally/kilogram;I;Giant Trevally;kilogram;35.783
glass catfish/ekor;I;Glass Catfish;ekor;7.714
glassy tetra/ekor;I;Glassy Tetra;ekor;8.349
glassy tetra/buah/butir/batang;I;Glassy Tetra;buah/butir/batang;1
glassy tetra/kilogram;I;Glassy Tetra;kilogram;20.000
goby/ekor;I;Goby;ekor;25.950
goby/buah/butir/batang;I;Goby;buah/butir/batang;1
goby/kilogram;I;Goby;kilogram;54.659
golden komet/ekor;I;Golden Komet;ekor;10.766
golden komet/buah/butir/batang;I;Golden Komet;buah/butir/batang;1
grass carp/ekor;I;Grass Carp;ekor;42.938
grass carp/buah/butir/batang;I;Grass Carp;buah/butir/batang;1
grunter/ekor;I;Grunter;ekor;1.710
grunter/kilogram;I;Grunter;kilogram;32.921
gurame/ekor;I;Gurame;ekor;49.255
gurame/kilogram;I;Gurame;kilogram;49.266
gurame hias/ekor;I;Gurame Hias;ekor;10.388
gurami coklat/ekor;I;Gurami Coklat;ekor;10.236
gurita/box;I;Gurita;box;717.021
gurita/ekor;I;Gurita;ekor;57.885
gurita/gram;I;Gurita;gram;100
gurita/buah/butir/batang;I;Gurita;buah/butir/batang;1
gurita/carton;I;Gurita;carton;1
gurita/kemasan;I;Gurita;kemasan;1
gurita/kilogram;I;Gurita;kilogram;100.000
hawkfish/ekor;I;Hawkfish;ekor;52.351
hawkfish/buah/butir/batang;I;Hawkfish;buah/butir/batang;1
hdddock/kilogram;I;Hdddock;kilogram;133.672
hiu/kilogram;I;Hiu;kilogram;1.500.000
hiu/ekor;I;Hiu;ekor;923.168
ikan air tawar/ekor;I;Ikan Air Tawar;ekor;129.595
ikan alga eater/ekor;I;Ikan Alga Eater;ekor;7.162
ikan alu-alu/ekor;I;Ikan Alu-alu;ekor;45.000
ikan alu-alu/kilogram;I;Ikan Alu-alu;kilogram;70.000
ikan anggoli/kilogram;I;Ikan Anggoli;kilogram;469.577
ikan arut/box;I;Ikan Arut;box;1
ikan arut/kilogram;I;Ikan Arut;kilogram;32.492
ikan arwana/kilogram;I;Ikan Arwana;kilogram;1.000.000
ikan arwana/ekor;I;Ikan Arwana;ekor;1.000.000
ikan arwana/box;I;Ikan Arwana;box;1
ikan arwana/buah/butir/batang;I;Ikan Arwana;buah/butir/batang;1
ikan asin/gram;I;Ikan Asin;gram;1.000
ikan asin/box;I;Ikan Asin;box;1
ikan asin/kemasan;I;Ikan Asin;kemasan;1
ikan asin/kilogram;I;Ikan Asin;kilogram;70.170
ikan ayam-ayam/ekor;I;Ikan Ayam-ayam;ekor;100.000
ikan ayam-ayam/buah/butir/batang;I;Ikan Ayam-ayam;buah/butir/batang;1
ikan ayam-ayam/kemasan;I;Ikan Ayam-ayam;kemasan;1
ikan ayam-ayam/kilogram;I;Ikan Ayam-ayam;kilogram;100.000
ikan badut/ekor;I;Ikan Badut;ekor;4.788
ikan badut/kilogram;I;Ikan Badut;kilogram;76.423
ikan bandeng/ekor;I;Ikan Bandeng;ekor;20.000
ikan bandeng/gram;I;Ikan Bandeng;gram;5.000
ikan bandeng/box;I;Ikan Bandeng;box;1
ikan bandeng/kilogram;I;Ikan Bandeng;kilogram;50.000
ikan baronang/ekor;I;Ikan Baronang;ekor;32.977
ikan baronang/kilogram;I;Ikan Baronang;kilogram;25.935
ikan bawal/ekor;I;Ikan Bawal;ekor;40.000
ikan bawal/box;I;Ikan Bawal;box;1
ikan bawal/kemasan;I;Ikan Bawal;kemasan;1
ikan bawal/kilogram;I;Ikan Bawal;kilogram;123.874
ikan belanak/kilogram;I;Ikan Belanak;kilogram;546.525
ikan betutu/ekor;I;Ikan Betutu;ekor;60.000
ikan betutu/box;I;Ikan Betutu;box;1
ikan betutu/buah/butir/batang;I;Ikan Betutu;buah/butir/batang;1
ikan betutu/kilogram;I;Ikan Betutu;kilogram;95.288
ikan bidadari/ekor;I;Ikan Bidadari;ekor;10.609
ikan boraras/ekor;I;Ikan Boraras;ekor;3.290
ikan botana/ekor;I;Ikan Botana;ekor;71.067
ikan botia/ekor;I;Ikan Botia;ekor;12.000
ikan botia/buah/butir/batang;I;Ikan Botia;buah/butir/batang;1
ikan botia/kilogram;I;Ikan Botia;kilogram;100.000
ikan bulan-bulan/kilogram;I;Ikan Bulan-bulan;kilogram;85.000
ikan bulu ayam/ekor;I;Ikan Bulu Ayam;ekor;25.939
ikan cakalang/gram;I;Ikan Cakalang;gram;65
ikan cakalang/box;I;Ikan Cakalang;box;1
ikan cakalang/bulk;I;Ikan Cakalang;bulk;1
ikan cakalang/liter;I;Ikan Cakalang;liter;1
ikan cakalang/kilogram;I;Ikan Cakalang;kilogram;65.000
ikan cendro/kilogram;I;Ikan Cendro;kilogram;44.258
ikan cichlid/ekor;I;Ikan Cichlid;ekor;16.526
ikan cobia/box;I;Ikan Cobia;box;1
ikan cobia/kilogram;I;Ikan Cobia;kilogram;135.241
ikan cupang/kilogram;I;Ikan Cupang;kilogram;500.000
ikan cupang/ekor;I;Ikan Cupang;ekor;50.000
ikan damselfish biru/ekor;I;Ikan Damselfish Biru;ekor;8.248
ikan damselfish biru/buah/butir/batang;I;Ikan Damselfish Biru;buah/butir/batang;1
ikan daun/ekor;I;Ikan Daun;ekor;16.515
ikan dolar perak/ekor;I;Ikan Dolar Perak;ekor;7.671
ikan dolar perak/buah/butir/batang;I;Ikan Dolar Perak;buah/butir/batang;1
ikan dolar perak/kilogram;I;Ikan Dolar Perak;kilogram;20.316
ikan domba pacu/kilogram;I;Ikan Domba Pacu;kilogram;88.400
ikan dori/ekor;I;Ikan Dori;ekor;92.611
ikan duri/ekor;I;Ikan Duri;ekor;11.635
ikan duri/kilogram;I;Ikan Duri;kilogram;6.795
ikan ekor kuning/ekor;I;Ikan Ekor Kuning;ekor;10.000
ikan ekor kuning/box;I;Ikan Ekor Kuning;box;1
ikan ekor kuning/kilogram;I;Ikan Ekor Kuning;kilogram;40.000
ikan gabus/ekor;I;Ikan Gabus;ekor;5.771
ikan gabus/botol;I;Ikan Gabus;botol;1
ikan gabus/kilogram;I;Ikan Gabus;kilogram;21.526
ikan gajah/ekor;I;Ikan Gajah;ekor;23.492
ikan garing/kilogram;I;Ikan Garing;kilogram;180.000
ikan garing/ekor;I;Ikan Garing;ekor;268.807
ikan gebel/ekor;I;Ikan Gebel;ekor;33.118
ikan gebel/kilogram;I;Ikan Gebel;kilogram;27.691
